"string","num","next_word","nchar"
"ass ass ass ass ass ass ass",38,"ass",27
"“as is” and is subject to change",37,"or",32
"a means for sites to earn advertising",37,"fees",37
"a participant in the amazon services llc",37,"and",40
"advertising and linking to amazoncom amazonca amazoncouk",37,"amazonde",56
"advertising fees by advertising and linking to",37,"amazoncom",46
"amazon eu associates programmes designed to provide",37,"a",51
"amazon eu this content is provided “as",37,"is”",38
"amazon services llc and amazon eu associates",37,"programmes",44
"amazon services llc andor amazon eu this",37,"content",40
"amazonca amazoncouk amazonde amazonfr amazonit and amazones",37,"certain",59
"amazoncom amazonca amazoncouk amazonde amazonfr amazonit and",37,"amazones",60
"amazoncouk amazonde amazonfr amazonit and amazones certain",37,"content",58
"amazonde amazonfr amazonit and amazones certain content",37,"that",55
"amazones certain content that appears on this",37,"website",45
"amazonfr amazonit and amazones certain content that",37,"appears",51
"amazonit and amazones certain content that appears",37,"on",50
"and amazon eu associates programmes designed to",37,"provide",47
"and amazones certain content that appears on",37,"this",44
"and is subject to change or removal",37,"at",35
"and linking to amazoncom amazonca amazoncouk amazonde",37,"amazonfr",53
"andor amazon eu this content is provided",37,"“as",40
"appears on this website comes from amazon",37,"services",41
"associates programmes designed to provide a means",37,"for",49
"by advertising and linking to amazoncom amazonca",37,"amazoncouk",48
"certain content that appears on this website",37,"comes",44
"comes from amazon services llc andor amazon",37,"eu",43
"content is provided “as is” and is",37,"subject",34
"content that appears on this website comes",37,"from",42
"designed to provide a means for sites",37,"to",37
"earn advertising fees by advertising and linking",37,"to",48
"eu associates programmes designed to provide a",37,"means",46
"eu this content is provided “as is”",37,"and",35
"fees by advertising and linking to amazoncom",37,"amazonca",44
"for sites to earn advertising fees by",37,"advertising",37
"from amazon services llc andor amazon eu",37,"this",40
"in the amazon services llc and amazon",37,"eu",37
"is a participant in the amazon services",37,"llc",39
"is provided “as is” and is subject",37,"to",34
"is subject to change or removal at",37,"any",34
"is” and is subject to change or",37,"removal",31
"linking to amazoncom amazonca amazoncouk amazonde amazonfr",37,"amazonit",58
"llc and amazon eu associates programmes designed",37,"to",48
"llc andor amazon eu this content is",37,"provided",35
"means for sites to earn advertising fees",37,"by",40
"on this website comes from amazon services",37,"llc",42
"participant in the amazon services llc and",37,"amazon",42
"programmes designed to provide a means for",37,"sites",42
"provide a means for sites to earn",37,"advertising",33
"provided “as is” and is subject to",37,"change",34
"services llc and amazon eu associates programmes",37,"designed",48
"services llc andor amazon eu this content",37,"is",41
"sites to earn advertising fees by advertising",37,"and",45
"subject to change or removal at any",37,"time",35
"that appears on this website comes from",37,"amazon",39
"the amazon services llc and amazon eu",37,"associates",37
"this content is provided “as is” and",37,"is",36
"this website comes from amazon services llc",37,"andor",43
"to amazoncom amazonca amazoncouk amazonde amazonfr amazonit",37,"and",59
"to earn advertising fees by advertising and",37,"linking",43
"to provide a means for sites to",37,"earn",31
"website comes from amazon services llc andor",37,"amazon",44
"matt hunter matt hunter matt hunter matt",28,"hunter",40
"please please please please please please please",27,"please",48
"i just finished a mi run with",26,"a",29
"calories g protein g carbohydrate g fat",25,"g",39
"g protein g carbohydrate g fat g",25,"saturated",32
"hunter matt hunter matt hunter matt hunter",24,"matt",42
"port authority of new york and new",23,"jersey",34
"run with a time of with nike",23,"gps",28
"the port authority of new york and",23,"new",34
"carbohydrate g fat g saturated mg cholesterol",22,"mg",45
"g carbohydrate g fat g saturated mg",22,"cholesterol",35
"g fat g saturated mg cholesterol mg",22,"sodium",35
"protein g carbohydrate g fat g saturated",22,"mg",40
"serving calories g protein g carbohydrate g",22,"fat",43
"chicago illinois incorporated in item c above",21,"pp",45
"per serving calories g protein g carbohydrate",21,"g",45
"rain rain rain rain rain rain rain",21,"rain",34
"work work work work work work work",21,"work",34
"fat g saturated mg cholesterol mg sodium",20,"g",40
"g saturated mg cholesterol mg sodium g",20,"fiber",38
"i just finished a mi run with",20,"nike",29
"just finished a mi run with nike",20,"gps",32
"swag swag swag swag swag swag swag",20,"swag",34
"cake cake cake cake cake cake cake",19,"cake",34
"damn damn damn damn damn damn damn",19,"damn",34
"a mi run with a time of",18,"with",23
"finished a mi run with a time",18,"of",29
"just finished a mi run with a",18,"time",29
"mi run with a time of with",18,"nike",26
"university of chicago chicago illinois incorporated in",16,"item",54
"cholesterol g carbohydrate g protein g fiber",15,"mg",44
"g carbohydrate g protein g fiber mg",15,"sodium",35
"gas gas gas gas gas gas gas",15,"gas",27
"calories calories from fat percent of total",14,"calories",43
"calories from fat percent of total calories",14,"g",43
"fat percent of total calories g fat",14,"g",35
"from fat percent of total calories g",14,"fat",36
"mg cholesterol g carbohydrate g protein g",14,"fiber",41
"calories g fat g saturated g trans",13,"fats",34
"fat g saturated g trans fats mg",13,"cholesterol",31
"fats mg cholesterol g carbohydrate g protein",13,"g",44
"g fat g saturated g trans fats",13,"mg",30
"g saturated g trans fats mg cholesterol",13,"g",39
"g trans fats mg cholesterol g carbohydrate",13,"g",42
"may the odds be ever in your",13,"favor",28
"of chicago chicago illinois incorporated in item",13,"c",48
"of total calories g fat g saturated",13,"g",35
"percent of total calories g fat g",13,"saturated",33
"please please follow me i love you",13,"so",34
"saturated g trans fats mg cholesterol g",13,"carbohydrate",39
"total calories g fat g saturated g",13,"trans",34
"trans fats mg cholesterol g carbohydrate g",13,"protein",42
"account to support you please follow me",12,"im",39
"add boston add boston add boston add",12,"boston",36
"and to washington dc for a concert",12,"and",34
"award winning novel gray rainbow journey limited",12,"time",48
"calories g fat g saturated fat mg",12,"cholesterol",33
"certified wet tshirt contest friday club drama",12,"want",46
"chicago chicago illinois incorporated in item c",12,"above",47
"club drama want to get in for",12,"free",29
"contest friday club drama want to get",12,"in",37
"drama want to get in for free",12,"txt",29
"ebook award winning novel gray rainbow journey",12,"limited",46
"fat g saturated fat mg cholesterol g",12,"protein",36
"for free txt me i will tell",12,"you",27
"free ebook award winning novel gray rainbow",12,"journey",43
"free txt me i will tell you",12,"how",27
"friday club drama want to get in",12,"for",32
"g certified wet tshirt contest friday club",12,"drama",42
"g fat g saturated fat mg cholesterol",12,"g",36
"g saturated fat mg cholesterol g protein",12,"g",40
"get in for free txt me i",12,"will",24
"i made this account to support you",12,"please",34
"in for free txt me i will",12,"tell",25
"love you i love you i love",12,"you",26
"made this account to support you please",12,"follow",39
"novel gray rainbow journey limited time offer",12,"contact",45
"saturated fat mg cholesterol g protein g",12,"carbohydrate",40
"support you please follow me im a",12,"big",33
"the school of law loyola university of",12,"chicago",38
"this account to support you please follow",12,"me",41
"to get in for free txt me",12,"i",25
"to support you please follow me im",12,"a",34
"to washington dc for a concert and",12,"meetngreet",34
"tshirt contest friday club drama want to",12,"get",40
"want to get in for free txt",12,"me",27
"washington dc for a concert and meetngreet",12,"austintodc",42
"wet tshirt contest friday club drama want",12,"to",41
"winning novel gray rainbow journey limited time",12,"offer",47
"you please follow me im a big",12,"fan",29
"a tweet from would make my nightmiobi",11,"taught",37
"but heres my number so call me",11,"maybe",30
"for the first time in a long",11,"time",28
"from would make my nightmiobi taught me",11,"to",39
"getting a tweet from would make my",11,"nightmiobi",34
"hey i just met you and this",11,"is",27
"i just met you and this is",11,"crazy",26
"i love you i love you i",11,"love",23
"make my nightmiobi taught me to shoot",11,"for",37
"march a yearold resident of the block",11,"of",37
"my nightmiobi taught me to shoot for",11,"my",36
"of law loyola university of chicago chicago",11,"illinois",43
"on march a yearold resident of the",11,"block",34
"school of law loyola university of chicago",11,"chicago",42
"tweet from would make my nightmiobi taught",11,"me",42
"would make my nightmiobi taught me to",11,"shoot",37
"cant wait until new song saysomething comes",10,"to",43
"comes to itunes i will buy it",10,"and",29
"every single one of your videos on",10,"youtube",34
"fat mg cholesterol g protein g carbohydrate",10,"g",43
"follow me i love you so so",10,"so",26
"i just cant wait until new song",10,"saysomething",31
"i love you so so so muchd<U+2665>",10,"i",26
"i suscribed every single one of your",10,"videos",36
"i will buy it and listen to",10,"it",27
"itunes i will buy it and listen",10,"to",31
"just cant wait until new song saysomething",10,"comes",42
"just met you and this is crazy",10,"but",30
"let me know if you have any",10,"questions",27
