"string","num","next_word","nchar"
"at the end of",558,"the",13
"in the middle of",272,"the",16
"for the first time",232,"in",18
"the end of the",204,"day",14
"for the rest of",182,"the",15
"by the end of",178,"the",13
"thank you so much",158,"for",17
"is going to be",147,"a",14
"its going to be",144,"a",15
"there are a lot",144,"of",15
"cant wait to see",127,"you",16
"to be a part",126,"of",12
"let me know if",122,"you",14
"is one of the",120,"most",13
"i cant wait to",118,"see",14
"happy mothers day to",110,"all",20
"the other side of",107,"the",17
"the end of the",106,"year",14
"for the first time",103,"since",18
"this is going to",103,"be",16
"on the other side",102,"of",17
"at the top of",101,"the",13
"thanks for the shout",100,"out",20
"in the middle of",97,"a",16
"i love you so",95,"much",13
"thanks so much for",92,"the",18
"at the time of",91,"the",14
"if you would like",88,"to",17
"and the rest of",87,"the",15
"thank you for the",87,"follow",17
"has nothing to do",82,"with",17
"keep up the good",81,"work",16
"hope you have a",79,"great",15
"thank you for the",79,"rt",17
"the rest of the",79,"day",15
"i have no idea",77,"what",14
"for those of you",76,"who",16
"is one of the",76,"best",13
"the end of the",76,"month",14
"the middle of the",76,"night",17
"as a result of",74,"the",14
"but at the same",73,"time",15
"thanks for the follow",70,"i",21
"when i was a",70,"kid",12
"am i the only",69,"one",13
"all you have to",68,"do",15
"at the beginning of",68,"the",19
"in the bottom of",68,"the",16
"i thought it would",66,"be",18
"there is a lot",66,"of",14
"to find a way",66,"to",13
"going to be a",65,"great",13
"to be one of",65,"the",12
"going to be able",64,"to",16
"mothers day to all",64,"the",18
"to figure out how",64,"to",17
"to the top of",64,"the",13
"at the bottom of",63,"the",16
"the dow jones industrial",63,"average",24
"you have to do",63,"is",14
"at the start of",62,"the",15
"for a chance to",62,"win",15
"is one of my",62,"favorite",12
"the th anniversary of",62,"the",21
"this is one of",62,"the",14
"this is the first",62,"time",17
"in the s and",61,"s",12
"on both sides of",61,"the",16
"to come up with",61,"a",15
"i am looking forward",60,"to",20
"the rest of the",60,"world",15
"let us know if",59,"you",14
"turned out to be",59,"a",16
"a couple of years",58,"ago",17
"cant wait to see",58,"the",16
"on the side of",58,"the",14
"thanks for the heads",57,"up",20
"to get out of",57,"the",13
"i have a lot",56,"of",12
"is the best way",56,"to",15
"what do you think",56,"of",17
"i think im going",55,"to",16
"i would love to",55,"see",15
"let me know what",55,"you",16
"one of the most",55,"important",15
"thank you to everyone",55,"who",21
