"string","num","next_word","nchar"
"at the end of the",166,"day",17
"on the other side of",71,"the",20
"in the middle of the",68,"night",20
"happy mothers day to all",63,"the",24
"all you have to do",59,"is",18
"this is going to be",55,"a",19
"ass ass ass ass ass",48,"ass",19
"i just finished a mi",47,"run",20
"incorporated in item c above",47,"pp",28
"just finished a mi run",46,"with",22
"by the end of the",43,"year",17
"let me know what you",42,"think",20
"hope you have a great",41,"day",21
"thank you so much for",41,"the",21
"but at the end of",40,"the",17
"could not be reached for",40,"comment",24
"at the end of the",38,"month",17
"“as is” and is subject",37,"to",22
"a means for sites to",37,"earn",20
"a participant in the amazon",37,"services",27
"advertising and linking to amazoncom",37,"amazonca",36
"advertising fees by advertising and",37,"linking",35
"amazon eu associates programmes designed",37,"to",40
"amazon eu this content is",37,"provided",25
"amazon services llc and amazon",37,"eu",30
"amazon services llc andor amazon",37,"eu",32
"amazonca amazoncouk amazonde amazonfr amazonit",37,"and",46
"amazoncom amazonca amazoncouk amazonde amazonfr",37,"amazonit",47
"amazoncouk amazonde amazonfr amazonit and",37,"amazones",41
"amazonde amazonfr amazonit and amazones",37,"certain",39
"amazones certain content that appears",37,"on",37
"amazonfr amazonit and amazones certain",37,"content",38
"amazonit and amazones certain content",37,"that",37
"and amazon eu associates programmes",37,"designed",35
"and amazones certain content that",37,"appears",33
"and is subject to change",37,"or",24
"and linking to amazoncom amazonca",37,"amazoncouk",33
"andor amazon eu this content",37,"is",28
"appears on this website comes",37,"from",29
"associates programmes designed to provide",37,"a",41
"by advertising and linking to",37,"amazoncom",29
"certain content that appears on",37,"this",31
"change or removal at any",37,"time",24
"comes from amazon services llc",37,"andor",30
"content is provided “as is”",37,"and",27
"content that appears on this",37,"website",28
"designed to provide a means",37,"for",27
"earn advertising fees by advertising",37,"and",36
"eu associates programmes designed to",37,"provide",36
"eu this content is provided",37,"“as",27
"fees by advertising and linking",37,"to",31
"for sites to earn advertising",37,"fees",29
"from amazon services llc andor",37,"amazon",30
"in the amazon services llc",37,"and",26
"is a participant in the",37,"amazon",23
"is provided “as is” and",37,"is",23
"is subject to change or",37,"removal",23
"is” and is subject to",37,"change",21
"linking to amazoncom amazonca amazoncouk",37,"amazonde",40
"llc and amazon eu associates",37,"programmes",28
"llc andor amazon eu this",37,"content",24
"means for sites to earn",37,"advertising",23
"on this website comes from",37,"amazon",26
"participant in the amazon services",37,"llc",34
"programmes designed to provide a",37,"means",32
"provide a means for sites",37,"to",25
"provided “as is” and is",37,"subject",23
"services llc and amazon eu",37,"associates",26
"services llc andor amazon eu",37,"this",28
"sites to earn advertising fees",37,"by",30
"subject to change or removal",37,"at",28
"that appears on this website",37,"comes",28
"the amazon services llc and",37,"amazon",27
"this content is provided “as",37,"is”",28
"this website comes from amazon",37,"services",30
"to amazoncom amazonca amazoncouk amazonde",37,"amazonfr",41
"to change or removal at",37,"any",23
"to earn advertising fees by",37,"advertising",27
"to provide a means for",37,"sites",22
"website comes from amazon services",37,"llc",34
"for the rest of the",36,"day",19
"please please please please please",36,"please",34
"the rock and roll hall",35,"of",22
"at the end of the",34,"season",17
"for the first time in",34,"years",21
"thanks to everyone who came",33,"out",27
"in the first round of",32,"the",21
"matt hunter matt hunter matt",32,"hunter",28
"rock and roll hall of",32,"fame",21
"cake cake cake cake cake",31,"cake",24
"on the new york stock",31,"exchange",21
"there is no such thing",31,"as",22
"all i want to do",30,"is",16
"i dont know about you",29,"but",21
"let us know what you",29,"think",20
"am i the only one",28,"who",17
"centers for disease control and",28,"prevention",31
"for the first time in",28,"a",21
"hunter matt hunter matt hunter",28,"matt",30
"i dont know what to",28,"do",19
"on the side of the",28,"road",18
"calories g protein g carbohydrate",27,"g",33
"a time of with nike",26,"gps",19
"at the end of the",26,"year",17
"finished a mi run with",26,"a",22
"g protein g carbohydrate g",26,"fat",26
"the girl with the dragon",26,"tattoo",24
"to be a part of",26,"the",15
"a yearold resident of the",25,"block",25
"for the rest of my",25,"life",18
"g carbohydrate g fat g",25,"saturated",22
"i hope you have a",25,"great",17
"its going to be a",25,"great",17
"protein g carbohydrate g fat",25,"g",28
"yearold resident of the block",25,"of",29
"authority of new york and",24,"new",25
"each and every one of",24,"you",21
"i want to be able",24,"to",17
"illinois incorporated in item c",24,"above",31
"let me know if you",24,"have",18
"let me know if you",24,"need",18
"may the fourth be with",24,"you",22
"of new york and new",24,"jersey",19
"port authority of new york",24,"and",26
"trying to figure out how",24,"to",24
"chicago illinois incorporated in item",23,"c",37
"g fat g saturated mg",23,"cholesterol",20
"hope all is well with",23,"you",21
"it would mean the world",23,"to",23
"rain rain rain rain rain",23,"rain",24
"run with a time of",23,"with",18
"the port authority of new",23,"york",25
"the president of the united",23,"states",27
"with a time of with",23,"nike",19
"work work work work work",23,"work",24
"carbohydrate g fat g saturated",22,"mg",30
"fat g saturated mg cholesterol",22,"mg",30
"g saturated mg cholesterol mg",22,"sodium",29
"in the back of my",22,"mind",17
"it will be interesting to",22,"see",25
"per serving calories g protein",22,"g",30
"please follow me i love",22,"you",23
"serving calories g protein g",22,"carbohydrate",28
"swag swag swag swag swag",22,"swag",24
"thanks for the follow looking",22,"forward",29
"what are you going to",22,"do",21
"by the end of the",21,"day",17
"damn damn damn damn damn",21,"damn",24
"for a chance to win",21,"a",19
"for the first time since",21,"the",24
"for the follow looking forward",21,"to",30
"for the rest of the",21,"year",19
"i cant wait to see",21,"what",18
"i cant wait to see",21,"you",18
"if you are looking for",21,"a",22
"on the right side of",21,"the",20
"thanks so much for the",21,"follow",22
"to everyone who came out",21,"to",24
"visit wwwradiotagrcomwfuv to tag this",21,"song",37
"would mean the world to",21,"me",23
"a mi run with nike",20,"gps",18
"fat mg cholesterol g protein",20,"g",28
"finished a mi run with",20,"nike",22
"for the first time this",20,"year",23
"get real rewards just for",20,"watching",25
"ill see what i can",20,"do",18
"let us know if we",20,"can",17
"mg cholesterol mg sodium g",20,"fiber",26
"real rewards just for watching",20,"tv",30
"saturated mg cholesterol mg sodium",20,"g",34
"the centers for disease control",20,"and",31
"by the end of the",19,"week",17
"for the rest of the",19,"week",19
"i love you i love",19,"you",17
"incorporated in item b above",19,"pp",28
"it has nothing to do",19,"with",20
"let us know if you",19,"need",18
"on the new york mercantile",19,"exchange",26
"thanks for following me on",19,"twitter",26
"the end of the school",19,"year",21
"the university of chicago chicago",19,"illinois",33
"to be a part of",19,"it",15
"to be a part of",19,"this",15
"to do with the fact",19,"that",19
"a mi run with a",18,"time",15
"by the end of the",18,"month",17
"i cant wait to see",18,"the",18
"i dont know what it",18,"is",19
"its going to be a",18,"long",17
"leave a comment on this",18,"post",23
"mi run with a time",18,"of",18
"only a matter of time",18,"before",21
"somebody that i used to",18,"know",23
"the end of the day",18,"i",18
"thought it would be fun",18,"to",23
"up in the middle of",18,"the",19
"we look forward to seeing",18,"you",25
"when was the last time",18,"you",22
"all you need to do",17,"is",18
"anyone with information is asked",17,"to",32
"available in your customer area",17,"now",31
"cant wait to see what",17,"you",21
"for the rt have a",17,"great",17
"gas gas gas gas gas",17,"gas",19
"hope you are having a",17,"great",21
"i had a lot of",17,"fun",14
"i love you so so",17,"so",16
"i thought i was the",17,"only",19
"i want to go back",17,"to",17
"it was a lot of",17,"fun",15
"just got off the phone",17,"with",22
"of chicago chicago illinois incorporated",17,"in",40
"that have nothing to do",17,"with",23
"thought i was the only",17,"one",22
"university of chicago chicago illinois",17,"incorporated",38
"what do you think of",17,"the",20
"when i was a kid",17,"i",16
"a year and a half",16,"ago",17
"and at the end of",16,"the",17
"between a man and a",16,"woman",19
"but at the same time",16,"i",20
"chicago chicago illinois incorporated in",16,"item",40
"fat g saturated fat mg",16,"cholesterol",22
"follow me i love you",16,"so",20
"g protein g fiber mg",16,"sodium",20
"have a long way to",16,"go",18
"have to find a way",16,"to",18
"hope everyone is having a",16,"great",25
"i think i am going",16,"to",18
"in the first three months",16,"of",25
