"string","num","next_word","nchar"
"classic at pates and fountain parks june",3,"u",40
"and arrested on an outstanding scott county",2,"warrant",43
"and fountain parks july u mid atlantic",2,"travel",38
"and fountain parks june u u u",2,"u",29
"and fountain parks sept u u u",2,"u",29
"at pates and fountain parks july u",2,"mid",34
"at pates and fountain parks june u",2,"u",34
"fountain parks july u mid atlantic travel",2,"league",41
"fountain parks june u u u u",2,"u",27
"pates and fountain parks july u mid",2,"atlantic",35
"pates and fountain parks june u u",2,"u",33
"pates and fountain parks sept u u",2,"u",33
"the name and address of each source",2,"of",35
"yearold shakopee man was cited for disorderly",2,"conduct",45
"– a opposed to those of the",1,"soviet",27
"– add dashes of dennis dugan’s white",1,"lighting",36
"– all the important things really and",1,"the",37
"– and prone to idiosyncratic gestures and",1,"relationships",41
"– and were most likely to maintain",1,"a",34
"– be it the washing up filling",1,"out",30
"– both from a safety and a",1,"financial",26
"– dodging requests for specifics friday gov",1,"chris",43
"– easter sunday– new york city– the",1,"new",35
"– except a collapsed sandcastle and a",1,"bucket",37
"– from am to pm we had",1,"three",22
"– holiday bowl win others were more",1,"mournful",35
"– how can strong leadership skills better",1,"assist",41
"– i have every one her style",1,"is",28
"– if repeatedly unchanged then psychological biased",1,"its",51
"– it’s got the ingredients for a",1,"great",32
"– miriam beard most of the time",1,"when",31
"– more on top of the formatting",1,"and",31
"– one of the absolutely most frustrating",1,"things",40
"– san francisco ca slims ford yes",1,"churchill",33
"– spinach lasagna salad we left bright",1,"and",38
"– such a great surprise to go",1,"home",29
"– they were all phenomenal for being",1,"out",36
"– we die from too much they",1,"die",27
"– with a break in between the",1,"workers",29
"– within context of course but without",1,"much",38
"– you made that decision in the",1,"face",31
"— a city resident convicted of sexually",1,"assaulting",39
"— a newark woman accused of animal",1,"cruelty",34
"— an upbeat and polished place to",1,"gather",33
"— and the seahawks best play of",1,"the",31
"— but because we lived in him",1,"righteous",29
"— explain every decision but there needs",1,"to",40
"— former nbaer tom gugliotta and chris",1,"corchiani",38
"— from the wolfpacks game against florida",1,"state",41
"— gadgets with few or no moving",1,"parts",31
"— in the second year since gov",1,"chris",30
"— it reduces the fun factor the",1,"council",31
"— it was the fewest amount of",1,"games",29
"— kirk nieuwenhuis joked that his keepsake",1,"the",42
"— like coaches and players — should",1,"enter",35
