"string","num","next_word","nchar"
"one of",5076,"the",6
"a lot",4551,"of",5
"thanks for",3651,"the",10
"to be",2723,"a",5
"going to",2571,"be",8
"i want",2227,"to",6
"the end",2210,"of",7
"out of",2160,"the",6
"it was",2072,"a",6
"as well",2066,"as",7
"some of",2017,"the",7
"be able",1922,"to",7
"part of",1789,"the",7
"i have",1726,"a",6
"looking forward",1679,"to",15
"the rest",1663,"of",8
"i have",1650,"to",6
"is going",1548,"to",8
"the first",1534,"time",9
"thank you",1480,"for",9
"a couple",1475,"of",8
"this is",1431,"a",7
"cant wait",1429,"to",9
"there is",1390,"a",8
"you want",1382,"to",8
"i love",1375,"you",6
"end of",1372,"the",6
"i need",1359,"to",6
"you have",1354,"to",8
"the fact",1347,"that",8
"to go",1321,"to",5
"im going",1308,"to",8
"i dont",1301,"know",6
"this is",1269,"the",7
"in the",1258,"world",6
"at the",1243,"end",6
"it would",1241,"be",8
"one of",1223,"my",6
"for the",1221,"follow",7
"in the",1214,"first",6
"for the",1209,"first",7
"there is",1204,"no",8
"it is",1189,"a",5
"is one",1185,"of",6
"to have",1162,"a",7
"most of",1135,"the",7
"according to",1117,"the",12
"all of",1110,"the",6
"in front",1107,"of",8
"the united",1092,"states",10
"if you",1090,"are",6
"to be",1064,"the",5
"you have",1056,"a",8
"i had",1054,"a",5
"of the",1049,"day",6
"of the",1038,"year",6
"i had",1033,"to",5
"to make",1024,"a",7
"i have",1016,"been",6
"i think",1008,"i",7
"rest of",1007,"the",7
"back to",1000,"the",7
"to see",979,"the",6
"have a",978,"great",6
"as much",973,"as",7
"to do",932,"with",5
"to get",928,"a",6
"in order",927,"to",8
"i wanted",926,"to",8
"one of",926,"those",6
"when i",925,"was",6
"want to",923,"be",7
"if you",922,"have",6
"it will",921,"be",7
"of the",921,"most",6
"i dont",912,"think",6
"i feel",900,"like",6
"at the",897,"same",6
"in the",895,"past",6
"if you",891,"want",6
"would like",888,"to",10
"have to",884,"be",7
"are going",880,"to",9
"to see",862,"you",6
"we need",857,"to",7
"the same",853,"time",8
"let me",852,"know",6
"i will",850,"be",6
"at the",848,"time",6
"was going",843,"to",9
"dont want",834,"to",9
"in the",834,"middle",6
"there was",834,"a",9
"a bit",818,"of",5
"go to",814,"the",5
"not going",813,"to",9
"a little",804,"bit",8
"you need",794,"to",8
"i wish",791,"i",6
"as long",788,"as",7
"it was",788,"the",6
"to make",787,"it",7
"i am",779,"not",4
"to get",765,"the",6
"would love",755,"to",10
"we have",752,"a",7
"because of",744,"the",10
"will be",736,"a",7
"the middle",735,"of",10
"what do",734,"you",7
"more than",729,"a",9
"in the",727,"morning",6
"to be",724,"in",5
"a chance",721,"to",8
"i cant",719,"wait",6
"and i",713,"have",5
"would have",709,"been",10
"all the",707,"time",7
"side of",704,"the",7
"do you",696,"think",6
"in the",695,"s",6
"need to",692,"be",7
"the number",688,"of",10
"a long",687,"time",6
"and it",687,"was",6
"would be",687,"a",8
"in the",684,"same",6
"i was",680,"a",5
"is not",679,"a",6
"that i",678,"have",6
"to do",675,"it",5
"to make",669,"the",7
"in the",667,"us",6
"i love",665,"the",6
"to take",665,"a",7
"when it",661,"comes",7
"there will",660,"be",10
"in new",655,"york",6
"for the",651,"rt",7
"i know",651,"i",6
"it is",648,"not",5
"on the",648,"other",6
"of the",647,"best",6
"the university",646,"of",14
"i dont",641,"have",6
"we have",639,"to",7
"it is",630,"the",5
"has been",629,"a",8
"that would",629,"be",10
"were going",628,"to",10
"it comes",624,"to",8
"i am",622,"a",4
"i have",621,"no",6
"in the",618,"last",6
"the top",618,"of",7
"in my",617,"life",5
"was one",617,"of",7
"so i",616,"can",4
"for me",615,"to",6
"i hope",613,"you",6
"to make",609,"sure",7
"if you",606,"dont",6
"i am",604,"so",4
"as soon",600,"as",7
"up in",599,"the",5
"look forward",594,"to",12
"you so",594,"much",6
"wait to",592,"see",7
"a number",591,"of",8
"is the",589,"best",6
"up to",589,"the",5
"is in",587,"the",5
"of the",586,"world",6
"that it",582,"was",7
"a bunch",580,"of",7
"as part",580,"of",7
"do you",580,"have",6
"and i",579,"am",5
"looking for",578,"a",11
"but it",571,"was",6
"a way",570,"to",5
"look at",567,"the",7
"i would",566,"have",7
"and i",563,"was",5
"said in",563,"a",7
"is a",560,"great",4
"a great",558,"day",7
"had a",557,"great",5
"a part",556,"of",6
"cant wait",553,"for",9
"for a",553,"while",5
"in addition",552,"to",11
"i was",551,"in",5
"for the",550,"next",7
"he said",550,"the",7
"i dont",547,"want",6
"will have",544,"to",9
"back in",543,"the",7
"i think",543,"the",7
"have to",542,"do",7
"in love",542,"with",7
"was able",541,"to",8
"to be",539,"able",5
"at a",538,"time",4
"of the",536,"season",6
"seems to",535,"be",8
"that it",534,"is",7
"it has",533,"been",6
"thanks for",532,"following",10
"percent of",531,"the",10
"top of",528,"the",6
"you for",528,"the",7
"and in",527,"the",6
"part of",527,"a",7
"that i",526,"am",6
"i think",523,"it",7
"to find",520,"a",7
"so much",515,"for",7
"he was",514,"a",6
"how do",514,"you",6
"wish i",513,"could",6
"in the",512,"second",6
"to get",510,"to",6
"going to",509,"have",8
"many of",509,"the",7
"will be",509,"the",7
"but i",508,"think",5
"but it",508,"is",6
"i think",507,"its",7
"its going",507,"to",9
"i used",506,"to",6
"in the",506,"end",6
"the new",506,"york",7
"at this",504,"point",7
"what to",503,"do",7
"needs to",499,"be",8
"was in",499,"the",6
"this is",498,"not",7
"member of",497,"the",9
"i decided",495,"to",9
"to say",495,"that",6
"be sure",493,"to",7
"go back",491,"to",7
"on top",491,"of",6
"we had",491,"a",6
"the only",490,"one",8
"and it",489,"is",6
"how are",489,"you",7
"the back",488,"of",8
"you can",487,"see",7
"going to",486,"the",8
"i love",486,"it",6
"that he",485,"was",7
"have a",484,"good",6
"i need",484,"a",6
"need to",484,"get",7
"that i",484,"was",6
"thanks so",483,"much",9
"be in",482,"the",5
"there was",482,"no",9
"trying to",480,"get",9
"a few",479,"days",5
"a series",479,"of",8
"check it",479,"out",8
"happy mothers",479,"day",13
"want to",479,"see",7
"i went",478,"to",6
"for a",477,"few",5
"going to",477,"get",8
"i do",477,"not",4
"it in",477,"the",5
"we want",475,"to",7
"all over",474,"the",8
"members of",472,"the",10
"and i",471,"think",5
"what are",470,"you",8
"all the",467,"way",7
"of the",467,"new",6
"by the",466,"time",6
"want to",466,"go",7
"it to",464,"the",5
"of my",464,"favorite",5
"as a",463,"result",4
"is a",462,"good",4
"supposed to",462,"be",11
"to see",462,"what",6
"on the",461,"way",6
"for all",460,"the",7
"to try",460,"to",6
"know how",459,"to",8
"the same",459,"thing",8
"we will",458,"be",7
"dont have",456,"to",9
"i know",456,"that",6
"to talk",456,"to",7
"away from",455,"the",9
"when he",455,"was",7
"he said",453,"he",7
"the idea",453,"of",8
"to figure",453,"out",9
"come up",452,"with",7
"i am",452,"going",4
"in terms",452,"of",8
"a group",451,"of",7
"as far",449,"as",6
"of my",449,"life",5
"is expected",448,"to",11
"i think",447,"that",7
"a little",446,"more",8
"to do",446,"the",5
"to talk",446,"about",7
"director of",445,"the",11
"you know",445,"what",8
"up with",443,"a",7
"of the",442,"first",6
"and of",439,"course",6
"a member",438,"of",8
"in the",436,"city",6
"one of",435,"them",6
"the kind",434,"of",8
"a few",432,"years",5
"but i",432,"have",5
"to deal",432,"with",7
"the way",430,"to",7
"has to",429,"be",6
"am going",428,"to",8
"to find",428,"out",7
"want to",428,"do",7
"i would",427,"like",7
"said he",427,"was",7
"to all",427,"the",6
"get out",426,"of",7
"is not",426,"the",6
"thank you",426,"so",9
"in the",425,"future",6
"a great",423,"time",7
"in the",423,"next",6
"a pair",422,"of",6
"check out",422,"the",9
"and i",420,"will",5
"just want",418,"to",9
"is that",417,"the",7
"out in",417,"the",6
"by the",416,"way",6
"in the",416,"united",6
"to see",416,"if",6
"a variety",415,"of",9
"i miss",413,"you",6
"it can",413,"be",6
"over the",413,"past",8
"you are",413,"a",7
"be a",412,"good",4
"the beginning",411,"of",13
"the opportunity",411,"to",15
"i got",409,"a",5
"i like",408,"to",6
"is on",408,"the",5
"president of",407,"the",12
"of the",406,"time",6
"no matter",405,"how",9
"would have",405,"to",10
"do you",403,"know",6
"to take",403,"the",7
"that was",402,"a",8
"went to",401,"the",7
"no matter",400,"what",9
"i was",399,"going",5
"over the",398,"years",8
"there are",398,"a",9
"for more",396,"than",8
"im not",396,"sure",6
"that is",396,"the",7
"the name",396,"of",8
"out of",395,"my",6
"that they",395,"are",9
"the bottom",395,"of",10
"front of",392,"the",8
"much of",392,"the",7
"to look",392,"at",7
"up on",392,"the",5
"will not",392,"be",8
"said it",391,"was",7
"thought it",390,"was",10
"but i",389,"dont",5
"in a",388,"statement",4
"in the",388,"house",6
"up with",388,"the",7
"i dont",387,"like",6
"is the",387,"only",6
"in a",386,"few",4
"to do",386,"a",5
"i thought",385,"i",9
"used to",385,"be",7
"you dont",385,"have",8
"be on",384,"the",5
"of all",384,"the",6
"take care",384,"of",9
"according to",382,"a",12
"in the",382,"country",6
"the last",382,"time",8
"going to",381,"do",8
"have no",381,"idea",7
"i thought",381,"it",9
"i would",381,"love",7
"been able",380,"to",9
"on the",379,"road",6
"to see",379,"how",6
"being able",378,"to",10
"but i",378,"am",5
"i would",378,"be",7
"you will",378,"be",8
"its been",377,"a",8
"dont know",376,"what",9
"have to",376,"go",7
"the time",376,"to",8
"you can",376,"do",7
"if you",374,"can",6
"to work",374,"with",7
"of the",373,"game",6
"that i",373,"had",6
"that there",373,"is",10
"a few",372,"weeks",5
"i just",372,"want",6
"is the",372,"most",6
"to do",372,"so",5
"it looks",370,"like",8
"you know",370,"that",8
"it should",369,"be",9
"let us",369,"know",6
"to be",367,"on",5
"to get",367,"out",6
"a year",366,"ago",6
"and if",366,"you",6
"have to",366,"say",7
"that you",366,"can",8
"the next",366,"day",8
"i don’t",364,"know",7
"may not",364,"be",7
"new york",363,"city",8
"the only",363,"thing",8
"to do",363,"that",5
"to work",363,"on",7
"for you",362,"to",7
"on the",362,"floor",6
"to keep",362,"the",7
"was the",362,"first",7
"a sense",361,"of",7
"i love",358,"my",6
"its time",358,"to",8
"middle of",358,"the",9
"please follow",358,"me",13
"for a",357,"new",5
"on my",357,"way",5
"a lot",356,"more",5
"any of",356,"the",6
"at least",356,"one",8
"at the",356,"moment",6
"by the",356,"end",6
"did you",356,"know",7
"out of",356,"a",6
"for the",355,"rest",7
"the people",354,"who",10
"based on",353,"the",8
"would be",353,"the",8
"is the",352,"first",6
"to have",352,"to",7
"to create",350,"a",9
"have been",349,"a",9
"that this",349,"is",9
"a good",348,"day",6
"he is",348,"a",5
"i wonder",347,"if",8
"can be",346,"a",6
"for a",346,"long",5
"in the",346,"early",6
"seem to",346,"be",7
"and a",345,"half",5
"i did",345,"not",5
"am to",344,"pm",5
"to get",344,"back",6
