"string","num","next_word","nchar"
"of",64409,"the",2
"in",61847,"the",2
"to",32237,"the",2
"for",30132,"the",3
"on",29760,"the",2
"to",24161,"be",2
"at",21440,"the",2
"and",18735,"the",3
"in",17842,"a",2
"with",15859,"the",4
"is",15027,"a",2
"for",14145,"a",3
"it",14064,"was",2
"from",13209,"the",4
"i",12783,"was",1
"i",12519,"have",1
"with",12459,"a",4
"and",12203,"i",3
"will",12195,"be",4
"going",12010,"to",5
"it",11984,"is",2
"of",11862,"a",2
"i",11301,"am",1
"is",11271,"the",2
"if",10949,"you",2
"have",10897,"a",4
"one",10775,"of",3
"to",10671,"get",2
"as",10379,"a",2
"want",9591,"to",4
"by",9316,"the",2
"that",9214,"the",4
"have",9152,"to",4
"and",8775,"a",3
"to",8681,"do",2
"this",8667,"is",4
"was",8543,"a",3
"the",8531,"first",3
"i",8518,"think",1
"out",8428,"of",3
"that",8399,"i",4
"to",8375,"a",2
"to",8158,"see",2
"on",8015,"a",2
"all",7607,"the",3
"but",7509,"i",3
"i",7473,"love",1
"the",7412,"same",3
"to",7240,"make",2
"you",7230,"can",3
"i",7226,"dont",1
"have",7189,"been",4
"a",7131,"lot",1
"be",7030,"a",2
"thanks",6835,"for",6
"he",6811,"was",2
"a",6664,"few",1
"has",6655,"been",3
"of",6576,"my",2
"need",6575,"to",4
"would",6537,"be",5
"more",6429,"than",4
"you",6417,"are",3
"about",6355,"the",5
"in",6342,"my",2
"when",6247,"i",4
"as",6218,"the",2
"a",6146,"great",1
"to",6127,"go",2
"you",6079,"have",3
"a",6045,"little",1
"i",6039,"can",1
"i",6034,"had",1
"to",5884,"have",2
"a",5867,"good",1
"the",5854,"best",3
"he",5822,"said",2
"had",5776,"a",3
"into",5740,"the",4
"thank",5709,"you",5
"i",5702,"know",1
"they",5625,"are",4
"we",5621,"are",2
"there",5466,"is",5
"i",5412,"just",1
"is",5319,"not",2
"that",5271,"is",4
"the",5090,"new",3
"the",5019,"most",3
"over",4969,"the",4
"there",4909,"are",5
"a",4897,"new",1
"like",4897,"a",4
"so",4889,"i",2
"the",4860,"world",3
"i",4847,"will",1
"we",4819,"have",2
"lot",4804,"of",3
"trying",4727,"to",6
"so",4724,"much",2
"do",4708,"you",2
"part",4677,"of",4
"but",4661,"the",3
"was",4495,"the",3
"and",4487,"then",3
"at",4477,"least",2
"i",4474,"would",1
"all",4450,"of",3
"on",4442,"my",2
"said",4426,"the",4
"able",4350,"to",4
"as",4315,"well",2
"back",4287,"to",4
"are",4274,"you",3
"the",4264,"way",3
"can",4248,"be",3
"you",4227,"know",3
"the",4211,"last",3
"if",4210,"i",2
"of",4200,"his",2
"some",4193,"of",4
"at",4167,"a",2
"to",4021,"me",2
"is",4009,"that",2
"in",3982,"this",2
"i",3962,"want",1
"the",3960,"other",3
"when",3955,"you",4
"way",3951,"to",3
"to",3948,"take",2
"go",3929,"to",2
"up",3898,"to",2
"the",3841,"time",3
"the",3836,"next",3
"time",3833,"to",4
"for",3820,"me",3
"that",3737,"he",4
"and",3716,"it",3
"he",3687,"is",2
"that",3678,"was",4
"i",3608,"could",1
"its",3608,"a",3
"i",3605,"cant",1
"right",3605,"now",5
"kind",3555,"of",4
"according",3551,"to",9
"to",3551,"my",2
"should",3550,"be",6
"had",3538,"to",3
"in",3523,"his",2
"the",3521,"only",3
"what",3515,"i",4
"the",3510,"day",3
"be",3506,"the",2
"of",3472,"this",2
"they",3462,"were",4
"when",3460,"the",4
"this",3427,"year",4
"the",3422,"end",3
"has",3359,"a",3
"but",3302,"it",3
"to",3265,"say",2
"of",3255,"course",2
"me",3248,"to",2
"from",3237,"a",4
"through",3218,"the",7
"as",3215,"i",2
"that",3201,"you",4
"i",3188,"got",1
"would",3183,"have",5
"i",3178,"do",1
"of",3160,"our",2
"with",3135,"my",4
"get",3134,"a",3
"a",3128,"bit",1
"i",3114,"need",1
"like",3073,"the",4
"and",3058,"that",3
"after",3026,"the",5
"it",3005,"to",2
"like",2989,"to",4
"are",2979,"the",3
"that",2977,"it",4
"new",2974,"york",3
"how",2970,"to",3
"which",2958,"is",5
"im",2955,"not",2
"said",2936,"he",4
"wanted",2930,"to",6
"not",2928,"a",3
"she",2919,"was",3
"that",2901,"we",4
"to",2901,"work",2
"out",2885,"the",3
"up",2881,"the",2
"have",2879,"the",4
"of",2878,"their",2
"it",2861,"would",2
"we",2849,"can",2
"the",2845,"city",3
"for",2840,"you",3
"i",2834,"hope",1
"and",2831,"we",3
"this",2830,"week",4
"last",2821,"year",4
"into",2808,"a",4
"to",2808,"find",2
"the",2807,"state",3
"cant",2801,"wait",4
"during",2797,"the",6
"to",2785,"help",2
"up",2785,"with",2
"is",2761,"to",2
"of",2761,"them",2
"end",2749,"of",3
"there",2742,"was",5
"by",2704,"a",2
"for",2674,"my",3
"it",2674,"will",2
"such",2673,"as",4
"that",2664,"they",4
"you",2647,"to",3
"did",2646,"not",3
"i",2616,"feel",1
"such",2615,"a",4
"to",2604,"keep",2
"not",2602,"to",3
"the",2602,"us",3
"you",2601,"want",3
"most",2600,"of",4
"of",2595,"your",2
"we",2590,"were",2
"he",2589,"has",2
"love",2578,"you",4
"if",2576,"the",2
"they",2576,"have",4
"because",2559,"of",7
"when",2559,"he",4
