"string","num","next_word","nchar"
"the end of",1134,"the",10
"at the end",1004,"of",10
"the rest of",983,"the",11
"thanks for the",973,"follow",14
"for the first",918,"time",13
"at the same",754,"time",11
"one of the",664,"most",10
"is going to",632,"be",11
"when it comes",605,"to",13
"in the middle",604,"of",13
"is one of",604,"the",9
"going to be",553,"a",11
"to be able",536,"to",10
"if you want",522,"to",11
"thanks for the",504,"rt",14
"cant wait to",498,"see",12
"thank you for",473,"the",13
"one of the",423,"best",10
"i am going",410,"to",10
"thank you so",390,"much",12
"in the united",387,"states",13
"i dont want",377,"to",11
"i cant wait",370,"to",11
"its going to",354,"be",12
"the middle of",346,"the",13
"for the rest",344,"of",12
"i would like",341,"to",12
"the top of",340,"the",10
"a lot of",332,"people",8
"by the end",332,"of",10
"one of my",331,"favorite",9
"on the other",329,"hand",12
"i was going",326,"to",11
"to go to",315,"the",8
"was one of",307,"the",10
"i wish i",301,"could",8
"a member of",293,"the",11
"i would love",290,"to",12
"in front of",282,"the",11
"as well as",281,"the",10
"at the university",281,"of",17
"the first time",278,"in",14
"a bit of",276,"a",8
"i was able",270,"to",10
"have a great",267,"day",12
"i want to",257,"be",9
"said in a",257,"statement",9
"what do you",255,"think",11
"going to have",254,"to",13
"will be able",251,"to",12
"for a long",250,"time",10
"have a lot",250,"of",10
"hope to see",242,"you",11
"i just want",242,"to",11
"as much as",241,"i",10
"the bottom of",241,"the",13
"on my way",240,"to",9
"are you going",238,"to",13
"in the first",238,"place",12
"as a result",232,"of",11
"i have no",230,"idea",9
"the best way",228,"to",12
"a little bit",222,"of",12
"nothing to do",222,"with",13
"in the block",221,"of",12
"i dont know",220,"what",11
"was going to",217,"be",12
"the back of",215,"the",11
"thanks so much",214,"for",14
"end of the",209,"day",10
"had a great",209,"time",11
"have a great",209,"weekend",12
"i thought it",209,"was",12
"let me know",207,"if",11
"at the top",206,"of",10
"to get out",205,"of",10
"i have to",202,"say",9
"be a part",198,"of",9
"you dont have",197,"to",13
"as part of",195,"the",10
"a few years",194,"ago",11
"i dont know",192,"if",11
"i feel like",192,"i",11
"if you have",191,"a",11
"to do with",191,"the",10
"as one of",190,"the",9
"as well as",187,"a",10
"for the most",187,"part",12
"thanks for the",187,"mention",14
"to go back",185,"to",10
"to be in",183,"the",8
"the first time",182,"i",14
"turned out to",182,"be",13
"as soon as",181,"i",10
"most of the",180,"time",11
"we are going",180,"to",12
"happy mothers day",179,"to",17
"looking forward to",178,"the",18
"im not going",177,"to",12
"on the other",176,"side",12
"are going to",175,"be",12
"i look forward",175,"to",14
"thanks for the",173,"ff",14
"trying to figure",173,"out",16
"a lot of",171,"fun",8
"a lot of",171,"the",8
"on the way",171,"to",10
"thank you for",171,"your",13
"in the form",170,"of",11
"from am to",169,"pm",10
"had a lot",169,"of",9
"to come up",168,"with",10
"the beginning of",167,"the",16
"a lot of",164,"time",8
"at the time",164,"of",11
"hope you have",164,"a",13
"in the midst",164,"of",12
"of the united",164,"states",13
"are a lot",162,"of",9
"there are so",162,"many",12
"you so much",162,"for",11
"i wish i",161,"had",8
"it would be",161,"a",11
"i dont know",160,"how",11
"so much for",160,"the",11
"this is going",160,"to",13
"in the first",158,"round",12
"the start of",157,"the",12
"cant wait for",156,"the",13
"there are a",156,"lot",11
"when i was",156,"a",10
"in a way",153,"that",8
"the fact that",153,"the",13
"looking forward to",152,"it",18
"the other side",152,"of",14
"in the second",151,"half",13
"there will be",151,"a",13
"i need to",149,"get",9
"in addition to",149,"the",14
"in the first",149,"half",12
"at the beginning",148,"of",16
"find a way",148,"to",10
"is one of",148,"my",9
"a few weeks",147,"ago",11
"be one of",147,"the",9
"to get back",147,"to",11
"i had no",146,"idea",8
"in one of",146,"the",9
"do you have",145,"a",11
"to take care",145,"of",12
"in the case",144,"of",11
"the fact that",144,"i",13
"the only way",144,"to",12
"a great way",143,"to",11
"i want to",143,"go",9
"what are you",143,"doing",12
"you are going",143,"to",13
"did you know",142,"that",12
"for a couple",142,"of",12
"in new york",142,"city",11
"looking forward to",142,"seeing",18
"in the early",141,"s",12
"you would like",141,"to",14
"one of the",140,"first",10
"the new york",140,"times",12
"i wish i",139,"was",8
"it was a",138,"good",8
"on top of",138,"the",9
"you dont want",138,"to",13
"for those of",137,"you",12
"know what to",137,"do",12
"take a look",137,"at",11
"the side of",137,"the",11
"this is the",137,"first",11
"wait to see",137,"you",11
"contributed to this",136,"report",19
"executive director of",136,"the",21
"the name of",136,"the",11
"this is one",136,"of",11
"you want to",136,"be",11
